classroom,Mon_1,Mon_2,Mon_3,Mon_4,Mon_N,Mon_5,Mon_6,Mon_7,Mon_8,Tue_1,Tue_2,Tue_3,Tue_4,Tue_N,Tue_5,Tue_6,Tue_7,Tue_8,Wed_1,Wed_2,Wed_3,Wed_4,Wed_N,Wed_5,Wed_6,Wed_7,Wed_8,Thu_1,Thu_2,Thu_3,Thu_4,Thu_N,Thu_5,Thu_6,Thu_7,Thu_8,Fri_1,Fri_2,Fri_3,Fri_4,Fri_N,Fri_5,Fri_6,Fri_7,Fri_8,ClassroomType
SF130,X,X,X,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,O,X,X,O,O,X,X,X,X,O,O,O,O,O,Normal
SF131,O,O,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,O,O,X,X,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X,O,O,O,O,O,Normal
SF132,X,X,X,X,O,O,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X,O,X,X,O,O,Normal
SF204,O,O,O,O,O,X,X,X,X,O,O,O,O,O,X,X,X,X,O,X,X,X,O,X,X,O,O,O,O,X,X,O,X,X,O,O,O,O,O,O,O,O,O,O,O,Normal
SF205,O,O,X,X,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,O,O,O,X,X,O,O,Normal
SF207,O,O,O,O,O,O,O,O,O,O,O,X,X,O,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Normal
SF208,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Normal
SF233,O,X,X,X,O,X,X,X,O,O,X,X,X,O,X,X,X,O,O,X,X,X,O,X,X,X,X,O,O,O,O,O,X,X,X,O,O,X,X,X,O,O,O,X,O,Normal
SF234,O,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X,X,O,O,X,X,X,O,X,X,O,O,O,O,O,O,O,X,X,X,O,O,X,X,X,O,O,O,O,O,Normal
SF235,O,X,X,X,O,O,O,O,O,O,X,X,X,O,X,X,X,O,O,O,X,X,O,X,X,O,O,O,O,X,O,O,O,X,X,O,O,O,X,X,X,X,X,X,O,Normal
